DJI_0396.JPG,-97.8065381389,17.8274391389,1878.29,-57.6,-15.9,1.6
DJI_0397.JPG,-97.8068833889,17.8276546667,1878.29,-56.1,8.8,2.9
DJI_0398.JPG,-97.8070023611,17.8277421111,1878.19,-54.6,9.7,11.3
DJI_0399.JPG,-97.8064303889,17.8281032778,1878.09,120.7,-12.1,8.7
DJI_0400.JPG,-97.8061398056,17.8278985278,1878.09,123.1,-16.1,-2.1
DJI_0401.JPG,-97.8057811944,17.8276765556,1878.19,123.0,-15.7,-2.4
DJI_0402.JPG,-97.80542675,17.8274581111,1878.29,123.1,-15.7,-2.6
DJI_0403.JPG,-97.8050800556,17.8272448056,1878.29,123.1,-15.7,-2.6
DJI_0425.JPG,-97.8048107222,17.8277824167,1878.19,-57.1,-16.1,1.5
DJI_0426.JPG,-97.8051464722,17.8279890278,1878.19,-57.4,-17.1,1.4
DJI_0427.JPG,-97.8054973889,17.8282073333,1878.19,-57.1,-15.9,1.1
